VANILLA LATTE ICE,LUMOS KOPI SUSU SIGNATURE,,,,,,
LYCHEE YAKULT,DARK CHOCOLATE FUDGY BROWNIES,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
GREENTEA MATCHA LATTE,AVOCADO PRESSO,,,,,,
KLEPON LATTE,LUMOS KOPI SUSU SIGNATURE,,,,,,
REDVELVET LATTE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,LONG BLACK ICE,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
OKINAWA BROWN SUGAR BOBA MILK,LUMOS KOPI SUSU SIGNATURE,,,,,,
LUMOS KOPI SUSU SIGNATURE,CAPPUCINO ICE,OKINAWA BROWN SUGAR BOBA MILK,,,,,
OKINAWA BROWN SUGAR BOBA MILK,CAPPUCINO ICE,,,,,,
LUMOS KOPI SUSU SIGNATURE,GREENTEA MATCHA LATTE,,,,,,
LUMOS KOPI SUSU SIGNATURE,HAZELNUT LATTE ICE,CHOCO LATTE,,,,,
CAFE LATTE ICE,KLEPON LATTE,BROWN SUGAR BOBA MILK TEA,LYCHEE YAKULT,LUMOS KOPI SUSU SIGNATURE,,,
BROWN SUGAR BOBA MILK TEA,,,,,,,
LYCHEE TEA,BROWNIES,LYCHEE YAKULT,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
CHOCO LATTE,REDVELVET LATTE,KLEPON LATTE,,,,,
AVOCADO PRESSO,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,CHOCO LATTE,,,,,,
OKINAWA BROWN SUGAR BOBA MILK,CINNAMON ROLL,LUMOS KOPI SUSU SIGNATURE,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
CINNAMON ROLL,LUMOS KOPI SUSU SIGNATURE,OKINAWA BROWN SUGAR BOBA MILK,KLEPON LATTE,,,,
BROWN SUGAR BOBA MILK TEA,REDVELVET LATTE,LUMOS KOPI SUSU SIGNATURE,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
CAFE LATTE HOT,REDVELVET LATTE,STRAWBERRY YAKULT,,,,,
REDVELVET LATTE,LUMOS KOPI SUSU SIGNATURE,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
OKINAWA BROWN SUGAR BOBA MILK,CARAMEL LATTE ICE,VANILLA LATTE ICE,,,,,
KLEPON LATTE,,,,,,,
CAFE LATTE HOT,,,,,,,
MANUAL BREW V60,,,,,,,
LUMOS KOPI SUSU SIGNATURE,LYCHEE YAKULT,,,,,,
MANUAL BREW JAPANESE ICE DRIP,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
STRAWBERRY SPARKLING,GREENTEA MATCHA LATTE,CAFE LATTE ICE,LYCHEE YAKULT,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,BROWN SUGAR BOBA MILK TEA,,,,,,
LUMOS KOPI SUSU SIGNATURE,LONG BLACK ICE,,,,,,
LUMOS KOPI SUSU SIGNATURE,LYCHEE YAKULT,,,,,,
LUMOS KOPI SUSU SIGNATURE,KLEPON LATTE,BANANA LATTE,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
GREENTEA MATCHA LATTE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,VANILLA LATTE HOT,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
CARAMEL LATTE ICE,LONG BLACK HOT,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
HONEY CITRON TEA,,,,,,,
CAPPUCINO HOT,,,,,,,
MANUAL BREW JAPANESE ICE DRIP,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
HAZELNUT LATTE ICE,HONEY CITRON TEA,GREENTEA MATCHA LATTE,,,,,
GREENTEA MATCHA LATTE,CARAMEL LATTE ICE,,,,,,
LUMOS KOPI SUSU SIGNATURE,HAZELNUT LATTE ICE,,,,,,
OKINAWA BROWN SUGAR BOBA MILK,,,,,,,
LYCHEE YAKULT,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LONG BLACK ICE,,,,,,,
CAFE LATTE HOT,BOMBOLONI,,,,,,
OKINAWA BROWN SUGAR BOBA MILK,LUMOS KOPI SUSU SIGNATURE,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
GREENTEA MATCHA LATTE,STRAWBERRY YAKULT,OKINAWA BROWN SUGAR BOBA MILK,,,,,
GREENTEA MATCHA LATTE,,,,,,,
KLEPON LATTE,COOKIES AND CREAM LATTE,,,,,,
REDVELVET LATTE,LUMOS KOPI SUSU SIGNATURE,LYCHEE YAKULT,,,,,
